title,publisher,subject,type,year,link
(Hyper)-Graphs Inference through Convex Relaxations and Move Making Algorithms: Contributions and Applications in Artificial Vision,Global Now ,Computing and Processing; General Topics for Engineers,E-Book,2016,https://www.librarianguide.co.in
10 Lenses to Design Sports-HCI,Global Now ,"Components, Circuits, Devices and Systems; Computing and Processing; Power, Energy and Industry Applications; Robotics and Control Systems; Signal Processing and Analysis",E-Book,2018,https://www.librarianguide.co.in
3D Reconstruction from Multiple Images: Part 1: Principles,Global Now ,Computing and Processing; General Topics for Engineers,E-Book,2010,https://www.librarianguide.co.in
A Comprehensive Review of Modern Object Segmentation Approaches,Global Now ,"Computing and Processing; Signal Processing and Analysis; Communication, Networking and Broadcast Technologies",E-Book,2022,https://www.librarianguide.co.in
A Decade of Lattice Cryptography,Global Now ,Computing and Processing,E-Book,2016,https://www.librarianguide.co.in
Bilateral Filtering: Theory and Applications,Global Now ,Computing and Processing; Signal Processing and Analysis,E-Book,2009,https://www.librarianguide.co.in
Caching and Materialization for Web Databases,Global Now ,Computing and Processing,E-Book,2010,https://www.librarianguide.co.in
Camera Models and Fundamental Concepts Used in Geometric Computer Vision,Global Now ,Computing and Processing; Signal Processing and Analysis,E-Book,2011,https://www.librarianguide.co.in
Canine-Centered Computing,Global Now ,Computing and Processing,E-Book,2017,https://www.librarianguide.co.in
Causal Fairness Analysis: A Causal Toolkit for Fair Machine Learning,Global Now ,Computing and Processing; General Topics for Engineers,E-Book,2024,https://www.librarianguide.co.in
Computer-Assisted Query Formulation,Global Now ,Computing and Processing,E-Book,2016,https://www.librarianguide.co.in
Computing and Building around Tie Strength in Social Media,Global Now ,Computing and Processing,E-Book,2014,https://www.librarianguide.co.in
Concept-Based Video Retrieval,Global Now ,Computing and Processing,E-Book,2009,https://www.librarianguide.co.in
Conformal Prediction: A Gentle Introduction,Global Now ,Computing and Processing,E-Book,2023,https://www.librarianguide.co.in
Consensus in Data Management: From Distributed Commit to Blockchain,Global Now ,Computing and Processing,E-Book,2023,https://www.librarianguide.co.in
Contextual Integrity through the Lens of Computer Science,Global Now ,Computing and Processing,E-Book,2017,https://www.librarianguide.co.in
Contextual Search: A Computational Framework,Global Now ,Computing and Processing,E-Book,2012,https://www.librarianguide.co.in
Conversational Information Seeking,Global Now ,Computing and Processing,E-Book,2023,https://www.librarianguide.co.in
Convex Optimization: Algorithms and Complexity,Global Now ,General Topics for Engineers,E-Book,2015,https://www.librarianguide.co.in
Credibility in Information Retrieval,Global Now ,Computing and Processing,E-Book,2015,https://www.librarianguide.co.in
Crowdsourced Data Management: Industry and Academic Perspectives,Global Now ,Computing and Processing,E-Book,2015,https://www.librarianguide.co.in
Crowdsourcing Accessibility: Human-Powered Access Technologies,Global Now ,Computing and Processing,E-Book,2015,https://www.librarianguide.co.in
Crowdsourcing in Computer Vision,Global Now ,Computing and Processing,E-Book,2016,https://www.librarianguide.co.in
Cybersecurity for Modern Smart Grid Against Emerging Threats,Global Now ,"Computing and Processing; Components, Circuits, Devices and Systems; Power, Energy and Industry Applications",E-Book,2024,https://www.librarianguide.co.in
Data Analytics on Graphs Part I: Graphs and Spectra on Graphs,Global Now ,Computing and Processing,E-Book,2020,https://www.librarianguide.co.in
Data Analytics on Graphs Part II: Signals on Graphs,Global Now ,Computing and Processing,E-Book,2020,https://www.librarianguide.co.in
"Data Analytics on Graphs Part III: Machine Learning on Graphs, from Graph Topology to Applications",Global Now ,Computing and Processing,E-Book,2020,https://www.librarianguide.co.in
Data Infrastructure for Medical Research,Global Now ,Bioengineering; Computing and Processing,E-Book,2017,https://www.librarianguide.co.in
"Data Provenance: Origins, Applications, Algorithms, and Models",Global Now ,Computing and Processing; General Topics for Engineers,E-Book,2021,https://www.librarianguide.co.in
